timestamp,event_type,event_name,state,eeg_value
1764895256.674691,state_change,RUNNING,RUNNING,0.443
1764895256.7048004,state_change,PAUSED,PAUSED,0.438
1764895256.7430167,state_change,RUNNING,RUNNING,0.431
1764895256.7694018,state_change,PAUSED,PAUSED,0.428
1764895256.7954478,state_change,RUNNING,RUNNING,0.425
1764895256.8272095,state_change,PAUSED,PAUSED,0.430
1764895256.8468134,state_change,RUNNING,RUNNING,0.422
1764895256.9014416,gesture,GESTURE_FIST,PAUSED,0.414
1764895256.9014416,state_change,PAUSED,PAUSED,0.414
1764895256.9379573,state_change,RUNNING,RUNNING,0.421
1764895256.9647136,state_change,PAUSED,PAUSED,0.423
1764895256.9973972,state_change,RUNNING,RUNNING,0.422
1764895257.0450456,state_change,PAUSED,PAUSED,0.430
1764895257.07476,state_change,RUNNING,RUNNING,0.439
1764895257.1094909,state_change,PAUSED,PAUSED,0.436
1764895257.13483,state_change,RUNNING,RUNNING,0.433
1764895257.1570997,state_change,PAUSED,PAUSED,0.426
1764895257.2068403,gesture,GESTURE_FIST,RUNNING,0.435
1764895257.2068403,state_change,RUNNING,RUNNING,0.435
1764895257.2455075,state_change,PAUSED,PAUSED,0.427
1764895257.279402,state_change,RUNNING,RUNNING,0.429
1764895257.3073967,state_change,PAUSED,PAUSED,0.436
1764895257.3353627,state_change,RUNNING,RUNNING,0.445
1764895257.3701468,state_change,PAUSED,PAUSED,0.447
1764895257.4079964,state_change,RUNNING,RUNNING,0.452
1764895257.449176,state_change,PAUSED,PAUSED,0.443
1764895257.4888408,state_change,RUNNING,RUNNING,0.442
1764895257.5251966,gesture,GESTURE_FIST,PAUSED,0.434
1764895257.5251966,state_change,PAUSED,PAUSED,0.434
1764895257.5572355,state_change,RUNNING,RUNNING,0.440
1764895257.5947108,state_change,PAUSED,PAUSED,0.445
1764895257.6315105,state_change,RUNNING,RUNNING,0.442
1764895257.6614764,state_change,PAUSED,PAUSED,0.441
1764895257.692802,state_change,RUNNING,RUNNING,0.445
1764895257.7294157,state_change,PAUSED,PAUSED,0.439
1764895257.7550757,state_change,RUNNING,RUNNING,0.429
1764895257.7804377,state_change,PAUSED,PAUSED,0.429
1764895257.8065655,state_change,RUNNING,RUNNING,0.419
1764895257.8335717,gesture,GESTURE_FIST,PAUSED,0.422
1764895257.8335717,state_change,PAUSED,PAUSED,0.422
1764895257.8555014,state_change,RUNNING,RUNNING,0.417
1764895257.9114301,state_change,PAUSED,PAUSED,0.422
1764895257.9569123,state_change,RUNNING,RUNNING,0.427
1764895257.9895096,state_change,PAUSED,PAUSED,0.420
1764895258.0170066,state_change,RUNNING,RUNNING,0.416
1764895258.047079,state_change,PAUSED,PAUSED,0.419
1764895258.0699031,state_change,RUNNING,RUNNING,0.424
1764895258.1008756,state_change,PAUSED,PAUSED,0.426
1764895258.1380458,gesture,GESTURE_FIST,RUNNING,0.418
1764895258.1380458,state_change,RUNNING,RUNNING,0.418
1764895258.16712,state_change,PAUSED,PAUSED,0.427
1764895258.1961503,state_change,RUNNING,RUNNING,0.425
1764895258.2195973,state_change,PAUSED,PAUSED,0.425
1764895258.2689505,state_change,RUNNING,RUNNING,0.415
1764895258.3097258,state_change,PAUSED,PAUSED,0.416
1764895258.3375864,state_change,RUNNING,RUNNING,0.424
1764895258.3650134,state_change,PAUSED,PAUSED,0.419
1764895258.411186,state_change,RUNNING,RUNNING,0.428
1764895258.437298,state_change,PAUSED,PAUSED,0.420
1764895258.4783857,gesture,GESTURE_FIST,RUNNING,0.423
1764895258.4783857,state_change,RUNNING,RUNNING,0.423
1764895258.5049524,state_change,PAUSED,PAUSED,0.430
1764895258.531276,state_change,RUNNING,RUNNING,0.437
1764895258.5668416,state_change,PAUSED,PAUSED,0.440
1764895258.5948906,state_change,RUNNING,RUNNING,0.433
1764895258.6292062,state_change,PAUSED,PAUSED,0.424
1764895258.6648102,state_change,RUNNING,RUNNING,0.421
1764895258.711499,state_change,PAUSED,PAUSED,0.416
1764895258.740539,state_change,RUNNING,RUNNING,0.418
1764895258.7751245,state_change,PAUSED,PAUSED,0.419
1764895258.8088734,gesture,GESTURE_FIST,RUNNING,0.423
1764895258.8088734,state_change,RUNNING,RUNNING,0.423
1764895258.8369079,state_change,PAUSED,PAUSED,0.432
1764895258.8677819,state_change,RUNNING,RUNNING,0.425
1764895258.8952389,state_change,PAUSED,PAUSED,0.416
1764895258.9253685,state_change,RUNNING,RUNNING,0.415
1764895258.967044,state_change,PAUSED,PAUSED,0.407
1764895259.004886,state_change,RUNNING,RUNNING,0.411
1764895259.0349607,state_change,PAUSED,PAUSED,0.406
1764895259.067747,state_change,RUNNING,RUNNING,0.397
1764895259.1092393,gesture,GESTURE_FIST,PAUSED,0.388
1764895259.1092393,state_change,PAUSED,PAUSED,0.388
1764895259.14113,state_change,RUNNING,RUNNING,0.381
1764895259.1671622,state_change,PAUSED,PAUSED,0.375
1764895259.1948094,state_change,RUNNING,RUNNING,0.382
1764895259.2209892,state_change,PAUSED,PAUSED,0.382
1764895259.276221,state_change,RUNNING,RUNNING,0.375
1764895259.3096983,state_change,PAUSED,PAUSED,0.369
1764895259.3392153,state_change,RUNNING,RUNNING,0.379
1764895259.3668904,state_change,PAUSED,PAUSED,0.371
1764895259.3972096,state_change,RUNNING,RUNNING,0.374
1764895259.4270053,gesture,GESTURE_FIST,PAUSED,0.373
1764895259.4270053,state_change,PAUSED,PAUSED,0.373
1764895259.4670346,state_change,RUNNING,RUNNING,0.368
1764895259.4896734,state_change,PAUSED,PAUSED,0.358
1764895259.5190852,state_change,RUNNING,RUNNING,0.353
1764895259.576892,state_change,PAUSED,PAUSED,0.343
1764895259.6046746,state_change,RUNNING,RUNNING,0.344
1764895259.6417134,state_change,PAUSED,PAUSED,0.342
1764895259.6859007,state_change,RUNNING,RUNNING,0.348
1764895259.7199676,state_change,PAUSED,PAUSED,0.356
1764895259.7575552,gesture,GESTURE_FIST,RUNNING,0.351
1764895259.7575552,state_change,RUNNING,RUNNING,0.351
1764895259.791721,state_change,PAUSED,PAUSED,0.348
1764895259.8207476,state_change,RUNNING,RUNNING,0.341
1764895259.8480594,state_change,PAUSED,PAUSED,0.332
1764895259.878263,state_change,RUNNING,RUNNING,0.338
1764895259.9071865,state_change,PAUSED,PAUSED,0.339
1764895259.938875,state_change,RUNNING,RUNNING,0.331
1764895259.9712594,state_change,PAUSED,PAUSED,0.322
1764895260.0052457,state_change,RUNNING,RUNNING,0.321
1764895260.0326018,state_change,PAUSED,PAUSED,0.317
1764895260.0712652,gesture,GESTURE_FIST,RUNNING,0.312
1764895260.0712652,state_change,RUNNING,RUNNING,0.312
1764895260.1049833,state_change,PAUSED,PAUSED,0.315
1764895260.1320224,state_change,RUNNING,RUNNING,0.318
1764895260.1651359,state_change,PAUSED,PAUSED,0.318
1764895260.200725,state_change,RUNNING,RUNNING,0.327
1764895260.2270477,state_change,PAUSED,PAUSED,0.325
1764895260.2829545,state_change,RUNNING,RUNNING,0.322
1764895260.317099,state_change,PAUSED,PAUSED,0.327
1764895260.3426938,state_change,RUNNING,RUNNING,0.326
1764895260.3761327,gesture,GESTURE_FIST,PAUSED,0.319
1764895260.3761327,state_change,PAUSED,PAUSED,0.319
1764895260.3969405,state_change,RUNNING,RUNNING,0.316
1764895260.436858,state_change,PAUSED,PAUSED,0.309
1764895260.4726768,state_change,RUNNING,RUNNING,0.315
1764895260.5051591,state_change,PAUSED,PAUSED,0.324
1764895260.5348582,state_change,RUNNING,RUNNING,0.317
1764895260.567219,state_change,PAUSED,PAUSED,0.309
1764895260.5950747,state_change,RUNNING,RUNNING,0.308
1764895260.6294007,state_change,PAUSED,PAUSED,0.303
1764895260.6784594,gesture,GESTURE_FIST,RUNNING,0.312
1764895260.6784594,state_change,RUNNING,RUNNING,0.312
1764895260.704688,state_change,PAUSED,PAUSED,0.316
1764895260.7307632,state_change,RUNNING,RUNNING,0.308
1764895260.7790463,state_change,PAUSED,PAUSED,0.299
1764895260.7790463,eeg_state,EEG_CALM,PAUSED,0.299
1764895260.7988067,state_change,RUNNING,RUNNING,0.297
1764895260.8369606,state_change,PAUSED,PAUSED,0.289
1764895260.8671074,state_change,RUNNING,RUNNING,0.290
1764895260.8950982,state_change,PAUSED,PAUSED,0.292
1764895260.9346642,state_change,RUNNING,RUNNING,0.297
1764895260.9569893,state_change,PAUSED,PAUSED,0.296
1764895260.9985752,gesture,GESTURE_FIST,RUNNING,0.295
1764895260.9985752,state_change,RUNNING,RUNNING,0.295
1764895261.0368586,state_change,PAUSED,PAUSED,0.302
1764895261.0368586,eeg_state,EEG_NEUTRAL,PAUSED,0.302
1764895261.0815046,state_change,RUNNING,RUNNING,0.304
1764895261.1068504,state_change,PAUSED,PAUSED,0.306
1764895261.141514,state_change,RUNNING,RUNNING,0.314
1764895261.1748416,state_change,PAUSED,PAUSED,0.317
1764895261.2106469,state_change,RUNNING,RUNNING,0.327
1764895261.236746,state_change,PAUSED,PAUSED,0.327
1764895261.2669027,state_change,RUNNING,RUNNING,0.329
1764895261.292657,state_change,PAUSED,PAUSED,0.335
1764895261.3348217,gesture,GESTURE_FIST,RUNNING,0.332
1764895261.3348217,state_change,RUNNING,RUNNING,0.332
1764895261.36534,state_change,PAUSED,PAUSED,0.335
1764895261.3970556,state_change,RUNNING,RUNNING,0.329
1764895261.430954,state_change,PAUSED,PAUSED,0.328
1764895261.4780653,state_change,RUNNING,RUNNING,0.337
1764895261.5086725,state_change,PAUSED,PAUSED,0.328
1764895261.5430436,state_change,RUNNING,RUNNING,0.325
1764895261.578637,state_change,PAUSED,PAUSED,0.332
1764895261.6127226,state_change,RUNNING,RUNNING,0.336
1764895261.6469364,gesture,GESTURE_FIST,PAUSED,0.333
1764895261.6469364,state_change,PAUSED,PAUSED,0.333
1764895261.6833682,state_change,RUNNING,RUNNING,0.339
1764895261.709389,state_change,PAUSED,PAUSED,0.329
1764895261.7368522,state_change,RUNNING,RUNNING,0.333
1764895261.7720351,state_change,PAUSED,PAUSED,0.339
1764895261.8051403,state_change,RUNNING,RUNNING,0.345
1764895261.832634,state_change,PAUSED,PAUSED,0.336
1764895261.8609245,state_change,RUNNING,RUNNING,0.333
1764895261.8910804,state_change,PAUSED,PAUSED,0.333
